,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
97778,100330,3068526A527148486C394F2B724465624D677A3635773D3D,54756A3845506138495339584B536468614C716445673D3D,Творческий проект,3,2016/2017,незачет,09.03.04 Программная инженерия,Очная,Бакалавр,Отчисленный
98767,101356,54306447714B7334494153796636395A37675A386A513D3D,56764B7473324965552B6F6E69754772756E6C6455413D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
100847,103515,344A576C64644542375831506A35762B793877464B773D3D,49734A6354324D2B2F56777A634A7A424C6D43736D773D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
101004,103675,376D44386D7231506361723453664D426C31565439673D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,3,2016/2017,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
101005,103686,314767524B46674742576F735A76664D6E6D565156673D3D,56377066462B31686D4C564F544D39315847644A76673D3D,Творческий проект,3,2016/2017,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
101278,103960,684B61685A4F4C3375544679303168792F374E4848673D3D,68305A5371444441535958534F2B2B4F6F63574577513D3D,Творческий проект,3,2016/2017,незачет,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",Очная,Специалист,Отчисленный
101705,104411,616E6634467547386C7542395659544F764E374D50413D3D,59667457724C694B5A6D5551534C53794347316257673D3D,Творческий проект,3,2016/2017,незачет,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Очная,Бакалавр,Отчисленный
104493,107257,706F517A3443684858417761714E66594A77395873413D3D,556B3539434F64567A475A434A7250557547594D31773D3D,Творческий проект,3,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
104847,107612,397472744D7A4A6142752F7376326C71414834452F673D3D,556B3539434F64567A475A434A7250557547594D31773D3D,Творческий проект,3,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
104848,107618,2B6C345247546635744D365634494E4B314F35392B413D3D,4466684172745831453641705A4E44436538547964773D3D,Творческий проект,3,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
