,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
7384,6274495536334D30466F44325636394F4E4F755141413D3D,5254504474696E31476A365948704356427343317A413D3D,Творческий проект,4,2013/2014,зачтено,14.03.02 Ядерные физика и технологии,Очная,Бакалавр,Отчисленный
7393,4541747A6D4B62724F554638477868786278423036673D3D,6C4B35344A6872636C4B636E774B6D653359492F66513D3D,Творческий проект,2,2013/2014,зачтено,21.05.02 Прикладная геология,Заочная,Специалист,Учащийся
7460,305166353268786D37513770764D4C4F625277476C413D3D,664471705034617664396978427831663072544A47673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7461,555A56536D734D5234574A506A6C4E586B53623951413D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7462,4639615A4963376F3964527644502F466F69765A33673D3D,664471705034617664396978427831663072544A47673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7463,6F626D563679596E385876395838736436464D3859673D3D,57786A4B725A396754784B776346724C6F4F31416E673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7464,706654354F582B3637304B6C64584864547732316B513D3D,4A474B357362324474596E46736D4C584B6A6C6354773D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7524,34776B686A736973504E6779392B636574374D6255773D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Творческий проект,2,2013/2014,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7563,664C334B786A765A516B766530646B6F4871366F4D773D3D,5378345538793646334874496F752B627363724170413D3D,Творческий проект,2,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
7695,524842346975323572485A613259786968444E7058673D3D,74753964553444596A4F356B5A547851734A697952513D3D,Творческий проект,2,2013/2014,зачтено,09.03.01 Информатика и вычислительная техника,Заочная,Бакалавр,Отчисленный
7696,3364706771477A484F36614959506176457A777566413D3D,305655636F36424D4A646C336D6F46457139634C46413D3D,Творческий проект,4,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
7708,7A7A634B583179437670457A6569626A356B65626D513D3D,42706B45756251354A694E6A737452454275456E62413D3D,Творческий проект,2,2013/2014,зачтено,20.03.01 Техносферная безопасность,Заочная,Бакалавр,Отчисленный
